lapTime	speed_Mph	gas	brake	steer	gear	x	y	z
0.009	146.0992431640625	0.998265266418457	0.0	5.243750095367432	6	205.31094360351562	-84.87992095947266	-386.146728515625
0.033	146.17774963378906	0.998265266418457	0.0	5.495450019836426	6	203.74844360351562	-84.86459350585938	-386.27813720703125
0.045	146.2023468017578	0.998265266418457	0.0	5.831049919128418	6	202.9669952392578	-84.85832977294922	-386.3445739746094
0.066	146.1920928955078	0.998265266418457	0.0	6.292500019073486	6	201.59950256347656	-84.85054016113281	-386.46160888671875
0.078	146.18460083007812	0.998265266418457	0.0	6.753949165344238	6	200.8181915283203	-84.84820556640625	-386.5288391113281
0.087	146.21067810058594	0.9992346167564392	0.0	7.131499767303467	6	200.23211669921875	-84.84733581542969	-386.5795593261719
0.111	146.3282928466797	1.0	0.0	7.509049892425537	6	198.6685333251953	-84.84797668457031	-386.7159729003906
0.12	146.39349365234375	1.0	0.0	7.7188005447387695	6	198.0818328857422	-84.84901428222656	-386.76776123046875
0.132	146.4578399658203	1.0	0.0	7.928549766540527	6	197.29930114746094	-84.8506851196289	-386.8375549316406
0.156	146.54153442382812	1.0	0.0	7.970499515533447	6	195.7338104248047	-84.85441589355469	-386.97955322265625
0.165	146.58155822753906	1.0	0.0	7.928549766540527	6	195.1465606689453	-84.85578918457031	-387.0338134765625
0.189	146.65647888183594	1.0	0.0	7.634900093078613	6	193.58029174804688	-84.85799407958984	-387.1816101074219
0.198	146.68601989746094	1.0	0.0	7.467100143432617	6	192.9928436279297	-84.8581314086914	-387.23822021484375
0.21	146.72784423828125	1.0	0.0	7.131499767303467	6	192.20948791503906	-84.85777282714844	-387.314697265625
0.234	146.80450439453125	1.0	0.0	6.5441999435424805	6	190.6424560546875	-84.85478210449219	-387.4713134765625
0.243	146.83128356933594	1.0	0.0	6.208600044250488	6	190.05474853515625	-84.85289764404297	-387.53125
0.255	146.86817932128906	1.0	0.0	5.872999668121338	6	189.2710723876953	-84.84989166259766	-387.6120910644531
0.276	146.93460083007812	1.0	0.0	5.369600296020508	6	187.89939880371094	-84.8435287475586	-387.7560729980469
0.288	146.97084045410156	1.0	0.0	5.034000396728516	6	187.11544799804688	-84.83942413330078	-387.839599609375
0.3	147.0063934326172	1.0	0.0	4.782299995422363	6	186.33140563964844	-84.8351058959961	-387.92401123046875
0.321	147.06619262695312	1.0	0.0	4.446699619293213	6	184.95909118652344	-84.82737731933594	-388.0737609863281
0.333	147.1034698486328	1.0	0.0	4.320849895477295	6	184.1747589111328	-84.82305908203125	-388.1603698730469
0.345	147.14064025878906	1.0	0.0	4.278899669647217	6	183.3903045654297	-84.81907653808594	-388.2477111816406
0.366	147.20492553710938	1.0	0.0	4.320849895477295	6	182.0172119140625	-84.81295776367188	-388.40228271484375
0.378	147.2308807373047	1.0	0.0	4.320849895477295	6	181.2324676513672	-84.81002807617188	-388.49151611328125
0.399	147.29489135742188	1.0	0.0	4.320849895477295	6	179.85891723632812	-84.80606842041016	-388.6494140625
0.411	147.33055114746094	1.0	0.0	4.362800121307373	6	179.07386779785156	-84.8041763305664	-388.74066162109375
0.423	147.3663787841797	1.0	0.0	4.362800121307373	6	178.2887420654297	-84.80241394042969	-388.8327331542969
0.444	147.4384002685547	1.0	0.0	4.362800121307373	6	176.9144744873047	-84.7992935180664	-388.9959411621094
0.456	147.47695922851562	1.0	0.0	4.362800121307373	6	176.1290283203125	-84.79725646972656	-389.0904235839844
0.477	147.53720092773438	1.0	0.0	4.362800121307373	6	174.7543487548828	-84.79287719726562	-389.25811767578125
0.489	147.57638549804688	1.0	0.0	4.362800121307373	6	173.9687042236328	-84.78994750976562	-389.35528564453125
0.498	147.60739135742188	1.0	0.0	4.362800121307373	6	173.37939453125	-84.78759002685547	-389.4288024902344
0.522	147.6853790283203	1.0	0.0	4.362800121307373	6	171.80764770507812	-84.7807388305664	-389.6273498535156
0.534	147.7213897705078	1.0	0.0	4.362800121307373	6	171.02163696289062	-84.77711486816406	-389.7279052734375
0.543	147.75021362304688	1.0	0.0	4.362800121307373	6	170.43206787109375	-84.77444458007812	-389.8038635253906
0.567	147.82383728027344	1.0	0.0	4.362800121307373	6	168.85960388183594	-84.76776885986328	-390.008544921875
0.576	147.8490753173828	1.0	0.0	4.362800121307373	6	168.2698211669922	-84.76538848876953	-390.0860595703125
0.588	147.88107299804688	1.0	0.0	4.446699619293213	6	167.48338317871094	-84.7623519897461	-390.19000244140625
0.609	147.9466552734375	1.0	0.0	4.446699619293213	6	166.10687255859375	-84.75736999511719	-390.3736267089844
0.621	147.98268127441406	1.0	0.0	4.446699619293213	6	165.3201446533203	-84.75456237792969	-390.4795227050781
0.633	148.01812744140625	1.0	0.0	4.446699619293213	6	164.5333251953125	-84.75169372558594	-390.5861511230469
0.654	148.08041381835938	1.0	0.0	4.446699619293213	6	163.1561737060547	-84.74637603759766	-390.7745666503906
0.666	148.11599731445312	1.0	0.0	4.446699619293213	6	162.36911010742188	-84.7430191040039	-390.8832702636719
0.678	148.15289306640625	1.0	0.0	4.446699619293213	6	161.58197021484375	-84.7393569946289	-390.9927978515625
0.699	148.21826171875	1.0	0.0	4.362800121307373	6	160.20425415039062	-84.73210144042969	-391.1864013671875
0.711	148.25450134277344	1.0	0.0	4.362800121307373	6	159.4168701171875	-84.72743225097656	-391.29815673828125
0.732	148.31947326660156	1.0	0.0	4.320849895477295	6	158.03875732421875	-84.71847534179688	-391.4956359863281
0.744	148.35694885253906	1.0	0.0	4.320849895477295	6	157.25112915039062	-84.71305847167969	-391.6095275878906
0.756	148.3948974609375	1.0	0.0	4.320849895477295	6	156.46340942382812	-84.70753479003906	-391.7241516113281
0.777	148.45596313476562	1.0	0.0	4.320849895477295	6	155.08468627929688	-84.6978988647461	-391.92645263671875
0.789	148.489990234375	1.0	0.0	4.320849895477295	6	154.29672241210938	-84.69255828857422	-392.0429992675781
0.81	148.5506591796875	1.0	0.0	4.320849895477295	6	152.91757202148438	-84.68370819091797	-392.2485046386719
0.822	148.58497619628906	1.0	0.0	4.320849895477295	6	152.1293487548828	-84.67894744873047	-392.3668212890625
0.834	148.62030029296875	1.0	0.0	4.320849895477295	6	151.34104919433594	-84.6744155883789	-392.4858093261719
0.855	148.68350219726562	1.0	0.0	4.320849895477295	6	149.96127319335938	-84.66704559326172	-392.6955261230469
0.867	148.71807861328125	1.0	0.0	4.320849895477295	6	149.17271423339844	-84.6630859375	-392.8162841796875
0.876	148.74432373046875	1.0	0.0	4.320849895477295	6	148.58123779296875	-84.6601333618164	-392.9073181152344
0.9	148.8103485107422	1.0	0.0	4.236949920654297	6	147.00376892089844	-84.65228271484375	-393.1520080566406
0.909	148.841796875	1.0	0.0	4.236949920654297	6	146.41212463378906	-84.64930725097656	-393.2445373535156
0.921	148.87913513183594	1.0	0.0	4.236949920654297	6	145.62319946289062	-84.64521789550781	-393.3685607910156
0.945	148.94837951660156	1.0	0.0	4.194999694824219	6	144.04510498046875	-84.63654327392578	-393.6188049316406
0.954	148.97511291503906	1.0	0.0	4.111100196838379	6	143.4532470703125	-84.6332015991211	-393.7134094238281
0.966	149.01287841796875	1.0	0.0	4.111100196838379	6	142.66403198242188	-84.62871551513672	-393.8402404785156
0.987	149.0741729736328	1.0	0.0	3.9852497577667236	6	141.28271484375	-84.62074279785156	-394.06396484375
0.999	149.10772705078125	1.0	0.0	3.9852497577667236	6	140.49330139160156	-84.61619567871094	-394.1927490234375
1.011	149.14315795898438	1.0	0.0	3.9433000087738037	6	139.70382690429688	-84.61167907714844	-394.322265625
1.032	149.2032470703125	1.0	0.0	3.8594002723693848	6	138.3220672607422	-84.60383605957031	-394.5506286621094
1.044	149.23843383789062	1.0	0.0	3.8174500465393066	6	137.53237915039062	-84.59941864013672	-394.6820983886719
1.056	149.27320861816406	1.0	0.0	3.7335500717163086	6	136.74261474609375	-84.59500885009766	-394.8142395019531
1.077	149.33314514160156	1.0	0.0	3.6496500968933105	6	135.36036682128906	-84.58735656738281	-395.0471496582031
1.089	149.36802673339844	1.0	0.0	3.5657498836517334	6	134.57041931152344	-84.58304595947266	-395.1811828613281
1.11	149.42794799804688	1.0	0.0	3.4398999214172363	6	133.1878204345703	-84.57551574707031	-395.4173583984375
1.122	149.4620361328125	1.0	0.0	3.31404972076416	6	132.39767456054688	-84.57123565673828	-395.5532531738281
1.134	149.49803161621094	1.0	0.0	3.2720999717712402	6	131.60743713378906	-84.56696319580078	-395.6898193359375
